,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Maximum Temperature (F),Wind Speed (mph)
62,mormugao,IN,1629351156.0,15.4,73.8,75.0,83.0,81.93200000000002,5.14
63,dembi dolo,ET,1629351157.0,8.5333,34.8,100.0,95.0,57.97400000000002,1.16
64,kodiak,US,1629350638.0,57.79,-152.4072,99.0,89.0,55.52599999999999,1.97
65,kysyl-syr,RU,1629351074.0,63.8986,122.7617,87.0,74.0,62.509999999999984,1.8
66,kokkola,FI,1629351157.0,63.8385,23.1307,90.0,88.0,56.767999999999994,6.69
67,strezhevoy,RU,1629351158.0,60.7333,77.5889,76.0,51.0,61.05199999999998,3.4
68,chapais,CA,1629351159.0,49.7834,-74.8492,0.0,81.0,62.653999999999954,2.12
69,jamestown,US,1629350882.0,42.097,-79.2353,100.0,97.0,71.45600000000003,1.79
70,mar del plata,AR,1629351000.0,-38.0023,-57.5575,92.0,90.0,54.23000000000005,1.58
71,bacolod,PH,1629351159.0,10.6667,122.95,40.0,67.0,86.99000000000002,3.07
72,pisco,PE,1629350697.0,-13.7,-76.2167,90.0,82.0,62.92400000000002,0.51
73,pasighat,IN,1629351160.0,28.0667,95.3333,100.0,99.0,77.66600000000003,1.08
74,tezu,IN,1629350999.0,27.9167,96.1667,100.0,100.0,76.17200000000005,0.91
75,kapaa,US,1629350894.0,22.0752,-159.319,20.0,73.0,81.19399999999997,0.45
76,nikolskoye,RU,1629350911.0,59.7035,30.7861,75.0,76.0,60.29600000000005,5.28
77,buraydah,SA,1629351161.0,26.326,43.975,0.0,10.0,84.91999999999996,0.89
78,deputatskiy,RU,1629351162.0,69.3,139.9,92.0,56.0,60.16999999999996,2.81
79,hilo,US,1629350873.0,19.7297,-155.09,90.0,84.0,77.07200000000003,2.06
80,ondjiva,AO,1629351162.0,-17.0667,15.7333,0.0,18.0,58.96400000000003,2.31
81,amderma,,,,,,,,
82,benjamin hill,MX,1629351102.0,30.1667,-111.1,23.0,65.0,78.44000000000003,2.42
83,inirida,CO,1629350908.0,3.8653,-67.9239,93.0,98.0,72.87799999999996,0.53
84,butaritari,KI,1629350879.0,3.0707,172.7902,98.0,73.0,83.64200000000001,5.19
85,hanna,CA,1629351009.0,51.6334,-111.9018,49.0,61.0,53.38399999999999,5.63
86,portknockie,GB,1629351164.0,57.7025,-2.8599,93.0,91.0,53.653999999999954,2.72
87,east london,ZA,1629350938.0,-33.0153,27.9116,0.0,71.0,56.60600000000003,6.69
88,kaitangata,NZ,1629350969.0,-46.2817,169.8464,84.0,71.0,50.792,5.55
89,severo-kurilsk,RU,1629350936.0,50.6789,156.125,30.0,80.0,59.846000000000046,3.55
90,illoqqortoormiut,,,,,,,,
91,brodnica,PL,1629351165.0,53.2597,19.3965,90.0,77.0,62.45600000000003,7.09
92,nouadhibou,MR,1629351165.0,20.930999999999997,-17.0347,89.0,84.0,71.07799999999997,3.6
93,high level,CA,1629351166.0,58.5169,-117.13600000000001,90.0,72.0,59.37799999999997,2.06
94,cabedelo,BR,1629351122.0,-6.9811,-34.8339,2.0,89.0,70.73599999999995,5.03
95,kushima,JP,1629351167.0,31.4583,131.2333,100.0,92.0,85.78399999999998,1.76
96,tabiauea,,,,,,,,
97,tuktoyaktuk,CA,1629350889.0,69.4541,-133.0374,75.0,93.0,43.069999999999965,3.6
98,codrington,AU,1629350987.0,-38.2667,141.9667,13.0,66.0,61.430000000000035,5.57
99,port hedland,AU,1629351009.0,-20.3167,118.5667,0.0,9.0,91.72400000000002,5.66
100,santa maria da boa vista,BR,1629351168.0,-8.8078,-39.8256,0.0,78.0,66.23599999999996,4.86
101,kamenka,RU,1629351168.0,51.3223,42.7678,0.0,27.0,85.87400000000002,3.6
102,pangnirtung,CA,1629351169.0,66.1451,-65.7125,100.0,90.0,47.17400000000002,1.12
103,teya,RU,1629351169.0,60.3778,92.6267,81.0,88.0,59.91799999999999,2.06
104,juneau,US,1629350916.0,58.3019,-134.4197,90.0,98.0,57.10999999999999,1.54
105,ketchikan,US,1629350993.0,55.3422,-131.6461,100.0,98.0,56.96600000000001,1.15
106,hohhot,CN,1629351170.0,40.8106,111.6522,40.0,69.0,77.558,2.0
107,zalantun,CN,1629351171.0,48.0,122.7167,100.0,85.0,71.20399999999995,7.74
108,mackay,AU,1629351025.0,-21.15,149.2,40.0,68.0,73.65199999999999,8.75
109,belushya guba,,,,,,,,
110,qujing,CN,1629351172.0,25.4833,103.7833,81.0,68.0,75.23599999999995,3.58
111,mahebourg,MU,1629350918.0,-20.4081,57.7,20.0,64.0,75.75800000000002,7.72
112,cairns,AU,1629351011.0,-16.9167,145.7667,24.0,55.0,84.34399999999997,6.69
113,iqaluit,CA,1629350861.0,63.7506,-68.5145,90.0,100.0,42.8,0.0
114,vila velha,BR,1629350697.0,-20.3297,-40.2925,75.0,88.0,70.01600000000002,1.03
115,kodinsk,RU,1629351174.0,58.6881,99.1844,100.0,41.0,73.92200000000005,2.85
116,bethel,US,1629350914.0,41.3712,-73.414,100.0,91.0,77.75600000000003,0.45
117,ouadda,CF,1629351174.0,8.0777,22.4007,100.0,95.0,70.44800000000005,1.62
118,sehithwa,BW,1629351175.0,-20.4667,22.7167,0.0,26.0,64.21999999999997,0.32
119,puerto ayora,EC,1629350879.0,-0.7393,-90.3518,78.0,85.0,72.82400000000001,2.68
120,coihaique,CL,1629350831.0,-45.5752,-72.0662,90.0,93.0,37.61600000000001,1.03
121,saint-philippe,RE,1629350900.0,-21.3585,55.7679,48.0,81.0,75.48800000000007,6.35
122,san cristobal,VE,1629350912.0,7.7669,-72.225,63.0,95.0,65.15600000000003,0.69
123,palabuhanratu,,,,,,,,
124,raudeberg,NO,1629351176.0,61.9875,5.1352,98.0,86.0,53.47400000000002,0.89
125,sao joaquim,BR,1629351177.0,-28.2939,-49.9317,6.0,91.0,54.82400000000001,1.71
126,tecpan,GT,1629350989.0,14.7623,-90.9947,100.0,94.0,58.58599999999997,1.5
127,pekalongan,ID,1629351177.0,-6.8886,109.6753,90.0,67.0,84.70399999999995,1.95
128,nguiu,,,,,,,,
129,egvekinot,RU,1629350900.0,66.3167,-179.1667,100.0,78.0,41.108,1.29
130,chokurdakh,RU,1629350898.0,70.6333,147.9167,100.0,39.0,65.62400000000002,1.41
131,oranjemund,,1629351178.0,-28.55,16.4333,35.0,93.0,52.934,0.39
132,wamba,NG,1629350973.0,8.9333,8.6,100.0,99.0,69.61999999999996,0.49
133,vrangel,RU,1629350898.0,42.7297,133.0839,28.0,66.0,71.816,2.33
134,ribeira grande,PT,1629350913.0,38.5167,-28.7,92.0,89.0,74.01199999999996,5.04
135,harrison,US,1629351179.0,30.4091,-89.0436,1.0,86.0,86.32400000000001,1.54
136,saint-vallier,FR,1629351180.0,46.6411,4.3711,92.0,90.0,59.234,0.55
137,port alfred,ZA,1629350907.0,-33.5906,26.891,39.0,81.0,55.85,1.86
138,dawlatabad,AF,1629351058.0,36.4141,64.9053,0.0,12.0,91.38200000000002,3.89
139,talnakh,RU,1629351120.0,69.4865,88.3972,97.0,52.0,51.72799999999997,3.83
140,aripuana,BR,1629351181.0,-9.1667,-60.6333,0.0,42.0,72.78800000000005,0.89
141,kavieng,PG,1629350590.0,-2.5744,150.7967,97.0,65.0,84.434,1.03
142,hay river,CA,1629350863.0,60.8156,-115.7999,75.0,88.0,59.25199999999998,2.57
143,qaanaaq,GL,1629350942.0,77.484,-69.3632,99.0,91.0,38.91199999999996,0.58
144,esperance,AU,1629350892.0,-33.8667,121.9,15.0,63.0,66.308,6.54
145,uglegorsk,RU,1629351182.0,49.0833,142.0333,100.0,76.0,68.01799999999999,3.74
146,lavrentiya,RU,1629350956.0,65.5833,-171.0,100.0,88.0,42.782000000000025,4.23
147,tuggurt,,,,,,,,
148,faanui,PF,1629351183.0,-16.4833,-151.75,28.0,66.0,78.00800000000002,9.27
149,caravelas,BR,1629351092.0,-17.7125,-39.2481,86.0,74.0,71.63599999999997,3.91
150,kaeo,NZ,1629351184.0,-35.1,173.7833,11.0,71.0,57.596000000000046,2.63
151,noumea,NC,1629351184.0,-22.2763,166.4572,97.0,76.0,73.65199999999999,7.37
152,talakan,RU,1629351185.0,50.3167,130.3667,99.0,43.0,83.62400000000002,3.76
153,placido de castro,BR,1629351185.0,-10.3353,-67.1856,17.0,46.0,75.90199999999999,0.7
154,katsuura,JP,1629350961.0,35.1333,140.3,5.0,77.0,88.17799999999997,7.64
155,isangel,VU,1629350919.0,-19.55,169.2667,75.0,100.0,61.17799999999997,5.14
156,isla aguada,MX,1629351186.0,18.7833,-91.4667,99.0,80.0,84.41600000000003,6.21
157,syumsi,RU,1629351186.0,57.1111,51.6149,1.0,42.0,79.934,0.9
158,saldanha,ZA,1629350864.0,-33.0117,17.9442,99.0,81.0,50.32400000000001,5.88
159,sulangan,PH,1629351187.0,11.1373,123.7228,66.0,67.0,84.63200000000002,1.63
160,hasaki,JP,1629351070.0,35.7333,140.8333,1.0,79.0,92.066,10.19
161,ye,,,,,,,,
162,sandovo,RU,1629351116.0,58.4602,36.4128,80.0,59.0,64.47200000000004,3.22
163,geraldton,AU,1629350998.0,-28.7667,114.6,40.0,49.0,70.484,6.17
164,portpatrick,,,,,,,,
165,guerrero negro,MX,1629350970.0,27.9769,-114.0611,0.0,78.0,73.02200000000005,5.8
166,ouallam,NE,1629351189.0,14.3188,2.0866,59.0,73.0,79.64600000000004,4.85
167,kazalinsk,,,,,,,,
168,lebu,CL,1629350938.0,-37.6167,-73.65,96.0,88.0,50.05399999999995,4.19
169,fukue,JP,1629351190.0,32.6881,128.8419,75.0,78.0,81.23000000000005,2.57
170,tasiilaq,GL,1629350897.0,65.6145,-37.6368,100.0,92.0,43.232000000000006,1.14
171,huron,US,1629351190.0,41.1501,-82.5499,35.0,94.0,70.95199999999997,1.8
172,salalah,OM,1629350952.0,17.0151,54.0924,90.0,100.0,77.35999999999999,1.54
173,vellmar,DE,1629351191.0,51.3581,9.4797,75.0,94.0,62.18599999999997,2.06
174,naze,JP,1629351101.0,28.3667,129.4833,100.0,84.0,74.58800000000005,2.5
175,najran,SA,1629351192.0,17.4924,44.1277,81.0,16.0,88.71799999999998,2.3
176,bacuit,,,,,,,,
177,irbit,RU,1629351192.0,57.6705,63.071000000000005,92.0,46.0,78.54800000000003,2.29
178,nantucket,US,1629351154.0,41.2835,-70.0995,1.0,79.0,75.57799999999997,2.57
179,hermanus,ZA,1629350880.0,-34.4187,19.2345,99.0,77.0,54.17599999999999,3.98
180,saskylakh,RU,1629350991.0,71.9167,114.0833,81.0,51.0,60.00800000000001,1.66
181,biloela,AU,1629351193.0,-24.4167,150.5,83.0,47.0,71.726,2.84
182,bengkulu,ID,1629350870.0,-3.8004,102.2655,100.0,88.0,76.35199999999998,3.94
183,bakchar,RU,1629351194.0,57.0186,82.0711,63.0,65.0,63.76999999999996,3.98
184,longyearbyen,SJ,1629350927.0,78.2186,15.6401,75.0,87.0,41.108,4.12
185,ponta do sol,PT,1629350902.0,32.6667,-17.1,0.0,64.0,70.7,1.52
186,rudbar,AF,1629351195.0,30.15,62.6,6.0,10.0,93.59600000000006,6.1
187,maceio,BR,1629351195.0,-9.6658,-35.7353,75.0,100.0,69.51199999999996,1.54
188,mazagao,BR,1629351196.0,-0.115,-51.2894,39.0,86.0,82.72400000000002,1.4
189,bababe,,,,,,,,
190,ivdel,RU,1629351196.0,60.6911,60.4206,46.0,53.0,76.1,0.99
191,grand river south east,,,,,,,,
192,barcelona,ES,1629351033.0,41.3888,2.1590000000000003,20.0,84.0,71.86999999999995,3.6
193,barrow,US,1629350894.0,71.2906,-156.7887,90.0,87.0,37.688000000000045,7.2
194,garissa,KE,1629351198.0,-0.4536,39.6401,100.0,65.0,76.92799999999997,8.7
195,hobyo,SO,1629351001.0,5.3505,48.5268,50.0,60.0,82.25600000000003,10.67
196,mys shmidta,,,,,,,,
197,utrecht,NL,1629350950.0,52.0,5.25,99.0,93.0,64.27400000000002,1.34
198,delmiro gouveia,BR,1629351199.0,-9.3886,-37.9992,35.0,97.0,65.13800000000005,2.52
199,obluche,,,,,,,,
200,tuatapere,NZ,1629351200.0,-46.1333,167.6833,100.0,90.0,47.08399999999999,4.06
201,valparaiso,CL,1629351169.0,-33.0393,-71.6273,90.0,100.0,54.788000000000046,0.0
202,torbay,CA,1629350863.0,47.6666,-52.7314,75.0,79.0,68.14399999999998,8.75
203,mendi,PG,1629351201.0,-6.1761,143.6513,100.0,98.0,59.55800000000001,0.81
204,fairlie,GB,1629351201.0,55.756,-4.8556,34.0,90.0,55.58000000000004,2.13
205,filingue,NE,1629351202.0,14.3521,3.3168,51.0,71.0,80.63599999999997,5.21
206,navlya,RU,1629351202.0,52.8281,34.4989,82.0,81.0,61.21400000000003,3.0
207,aitape,PG,1629351203.0,-3.1374,142.3475,32.0,73.0,83.94800000000005,2.94
208,dingle,PH,1629350957.0,10.9995,122.6711,20.0,61.0,89.33000000000004,2.69
209,aklavik,CA,1629351027.0,68.2191,-135.0107,74.0,87.0,43.89800000000002,2.39
210,ostrovnoy,RU,1629351090.0,68.0531,39.5131,100.0,78.0,60.54800000000003,6.51
211,yellamanchili,,,,,,,,
212,monrovia,LR,1629351204.0,6.3005,-10.7969,39.0,73.0,76.45999999999998,3.11
213,idenao,CM,1629351204.0,4.2475,9.0047,98.0,90.0,73.11199999999997,2.49
214,upernavik,GL,1629350871.0,72.7868,-56.1549,88.0,83.0,40.69399999999997,3.71
215,port blair,IN,1629351013.0,11.6667,92.75,40.0,79.0,88.10600000000002,6.17
216,sao joao da barra,BR,1629350943.0,-21.6403,-41.0511,2.0,83.0,71.52799999999995,8.48
217,lagoa,PT,1629350921.0,39.05,-27.9833,44.0,87.0,73.184,7.36
218,thinadhoo,MV,1629351206.0,0.5333,72.9333,21.0,72.0,82.27400000000002,3.24
219,omaruru,,1629351206.0,-21.4333,15.9333,0.0,29.0,51.67400000000002,1.64
220,port angeles,US,1629351207.0,48.1181,-123.4307,1.0,95.0,62.97799999999997,4.63
221,hofn,IS,1629351043.0,64.2539,-15.2082,100.0,91.0,52.66400000000003,2.35
222,ivanava,BY,1629351207.0,52.1451,25.5365,45.0,69.0,58.58599999999997,4.54
223,victoria,HK,1629350720.0,22.2855,114.1577,96.0,82.0,86.59399999999997,0.89
224,doka,SD,1629351208.0,13.5167,35.7667,58.0,81.0,74.78599999999997,5.54
225,khatanga,RU,1629350888.0,71.9667,102.5,100.0,48.0,54.46400000000003,3.16
226,pitimbu,BR,1629351065.0,-7.4706,-34.8086,5.0,86.0,70.66400000000004,4.87
227,meyungs,,,,,,,,
228,ampanihy,MG,1629351209.0,-24.7,44.75,0.0,44.0,73.81400000000005,3.0
229,champerico,GT,1629351117.0,14.3,-91.9167,100.0,81.0,82.99399999999997,3.01
230,ler,SS,1629351210.0,8.3018,30.1418,79.0,77.0,77.09000000000003,0.99
231,lorengau,PG,1629350935.0,-2.0226,147.2712,85.0,65.0,85.60399999999996,2.95
232,manado,ID,1629351211.0,1.4869999999999999,124.8455,40.0,94.0,78.04399999999998,1.54
233,bredasdorp,ZA,1629350864.0,-34.5322,20.0403,100.0,82.0,51.385999999999974,2.06
234,itaituba,BR,1629351211.0,-4.2761,-55.9836,29.0,62.0,72.93200000000002,1.21
235,khandyga,RU,1629351212.0,62.6667,135.6,84.0,62.0,63.14000000000002,0.79
236,lugo,ES,1629351212.0,43.0,-7.5,54.0,100.0,56.75,5.36
237,norman wells,CA,1629350880.0,65.282,-126.8329,75.0,93.0,52.10600000000003,1.54
238,wellington,NZ,1629351075.0,-41.2866,174.7756,4.0,70.0,55.92200000000004,1.79
239,wenling,CN,1629351213.0,28.3669,121.36,100.0,71.0,82.65199999999999,2.96
240,grand gaube,MU,1629351071.0,-20.0064,57.6608,72.0,65.0,75.86600000000001,4.47
241,samusu,,,,,,,,
242,miyoshi,JP,1629351214.0,35.0833,137.0667,100.0,78.0,75.59600000000006,3.05
243,new norfolk,AU,1629350909.0,-42.7826,147.0587,76.0,58.0,58.19000000000002,0.45
244,lolua,,,,,,,,
245,atocha,BO,1629351215.0,-20.9333,-66.2333,0.0,12.0,40.92799999999996,2.22
246,saint george,US,1629350725.0,37.1041,-113.5841,90.0,50.0,84.93800000000005,9.26
247,bambous virieux,MU,1629351056.0,-20.3428,57.7575,20.0,64.0,75.72200000000005,7.72
248,marawi,PH,1629350866.0,7.9986,124.2928,36.0,65.0,76.90999999999998,1.59
249,severnyy-kospashskiy,RU,1629351216.0,59.0925,57.8008,77.0,53.0,75.07400000000001,1.7
250,bathsheba,BB,1629351001.0,13.2167,-59.5167,75.0,88.0,77.88200000000002,3.6
251,mersing,MY,1629351216.0,2.4312,103.8405,40.0,70.0,86.18000000000004,4.12
252,elizabeth city,US,1629351217.0,36.2946,-76.2511,1.0,93.0,82.27400000000002,0.89
253,flin flon,CA,1629351177.0,54.7682,-101.865,98.0,56.0,53.18599999999997,2.73
254,chuy,UY,1629350976.0,-33.6971,-53.4616,97.0,96.0,62.564000000000036,2.49
255,sao filipe,CV,1629350924.0,14.8961,-24.4956,92.0,85.0,78.11600000000001,1.86
256,fairbanks,US,1629351218.0,64.8378,-147.7164,1.0,72.0,53.86999999999996,0.0
257,alice springs,AU,1629350921.0,-23.7,133.8833,0.0,12.0,78.61999999999995,3.6
258,mandera,KE,1629351219.0,3.9366,41.867,51.0,41.0,81.93200000000002,8.67
259,adrar,MR,1629351098.0,20.5022,-10.0711,78.0,36.0,87.83599999999996,4.75
260,bahia blanca,AR,1629350970.0,-38.7196,-62.2724,100.0,36.0,59.35999999999999,4.18
261,san patricio,US,1629350956.0,28.017,-97.5169,89.0,74.0,87.96199999999996,8.24
262,berlevag,NO,1629351220.0,70.8578,29.0864,75.0,93.0,48.46999999999996,10.8
263,russell,US,1629351220.0,32.3502,-85.1999,1.0,94.0,80.09600000000006,0.0
264,aksu,CN,1629350887.0,41.1231,80.2644,90.0,20.0,85.02799999999995,1.73
265,grand-santi,GF,1629351221.0,4.25,-54.3833,43.0,97.0,71.41999999999996,0.74
266,ijaki,,,,,,,,
267,cidreira,BR,1629350873.0,-30.1811,-50.2056,34.0,85.0,65.11999999999996,3.97
268,ilulissat,GL,1629351041.0,69.2167,-51.1,100.0,87.0,43.08800000000005,0.0
269,westport,US,1629350838.0,41.1415,-73.3579,90.0,94.0,79.25,0.45
270,bud,US,1629351222.0,39.446999999999996,-86.1758,100.0,96.0,74.56999999999995,2.76
271,leo,BF,1629351223.0,11.1,-2.1,99.0,87.0,70.53800000000005,1.07
272,chakwal,PK,1629351223.0,32.9334,72.8585,0.0,33.0,95.59399999999997,2.94
273,kirkland lake,CA,1629351062.0,48.1446,-80.0377,25.0,88.0,68.558,1.88
274,kaduy,RU,1629351224.0,59.2,37.15,84.0,67.0,61.10600000000003,3.31
275,kyren,RU,1629351126.0,51.6828,102.1408,33.0,53.0,68.70199999999997,1.55
276,mehamn,NO,1629351048.0,71.0357,27.8492,75.0,93.0,48.41600000000001,8.75
277,buta,CD,1629351225.0,2.7858,24.73,100.0,99.0,69.74600000000005,0.48
278,gamboula,CF,1629351225.0,4.1178,15.1393,100.0,98.0,68.45,0.85
279,harper,LR,1629350988.0,4.375,-7.7169,99.0,82.0,74.71400000000003,1.27
280,beihai,CN,1629351226.0,21.4833,109.1,76.0,68.0,87.60199999999998,3.66
281,merauke,ID,1629351227.0,-8.4667,140.3333,89.0,78.0,79.7,6.84
282,mao,ES,1629351227.0,39.8885,4.2658,20.0,94.0,72.42799999999997,2.06
283,morant bay,JM,1629351227.0,17.8815,-76.4093,100.0,84.0,82.292,4.64
284,causapscal,CA,1629351228.0,48.3542,-67.227,0.0,96.0,65.10199999999998,0.95
285,utiroa,,,,,,,,
286,tasbuget,,,,,,,,
287,gueret,FR,1629351229.0,46.1667,1.8667,89.0,90.0,56.3,0.68
288,biak,ID,1629351229.0,-0.9131,122.8766,44.0,81.0,79.84399999999997,4.48
289,cabra,ES,1629351230.0,37.4725,-4.4421,0.0,76.0,71.92399999999999,0.91
290,faya,SA,1629351230.0,18.3851,42.4509,44.0,38.0,74.19200000000002,2.71
291,touros,BR,1629351040.0,-5.1989,-35.4608,53.0,88.0,70.96999999999997,6.15
292,byron bay,AU,1629351224.0,-28.65,153.6167,49.0,59.0,70.17799999999997,3.01
293,baherden,TM,1629351232.0,38.4362,57.4316,0.0,13.0,90.734,2.51
294,luderitz,,1629351232.0,-26.6481,15.1594,14.0,83.0,53.042,4.41
295,taolanaro,,,,,,,,
296,jumla,NP,1629350959.0,29.2747,82.1838,94.0,74.0,71.65399999999995,1.75
297,munak,IN,1629351234.0,29.5187,76.8486,86.0,48.0,93.95600000000003,1.31
298,lukovetskiy,RU,1629351234.0,64.2956,41.9211,90.0,91.0,66.45199999999997,2.52
299,nishihara,JP,1629351069.0,26.1842,127.7558,90.0,89.0,80.92399999999999,2.06
300,szczytno,PL,1629351235.0,53.5626,20.9875,0.0,77.0,60.99800000000002,5.14
301,nadvoitsy,RU,1629351235.0,63.8667,34.3167,55.0,73.0,60.908,6.1
302,rassvet,RU,1629351236.0,46.8333,40.75,56.0,55.0,80.88800000000005,6.0
303,constitucion,CL,1629350896.0,-35.3333,-72.4167,96.0,94.0,52.51999999999996,4.24
304,sandy bay,AU,1629351236.0,-42.913000000000004,147.3532,40.0,64.0,59.41400000000003,0.45
305,celestun,MX,1629351237.0,20.8667,-90.4,81.0,73.0,81.392,6.31
306,haverfordwest,GB,1629351237.0,51.8017,-4.9691,98.0,93.0,61.82599999999999,0.45
307,shache,CN,1629351061.0,38.4167,77.2406,10.0,10.0,89.56400000000004,2.24
308,namatanai,PG,1629350930.0,-3.6667,152.4333,84.0,68.0,84.65,2.01
309,chaumont,FR,1629351238.0,48.1167,5.1333,100.0,91.0,59.55800000000001,1.83
310,san quintin,MX,1629351238.0,30.4833,-115.95,11.0,74.0,71.834,1.54
311,alofi,NU,1629350878.0,-19.0595,-169.9187,24.0,78.0,75.36199999999997,2.57
312,jabalpur,IN,1629350977.0,23.166999999999998,79.9501,90.0,94.0,79.91600000000003,1.54
313,angermunde,DE,1629351239.0,53.015,13.9992,82.0,81.0,64.34600000000006,5.47
314,murwillumbah,AU,1629351240.0,-28.3167,153.4,90.0,59.0,71.00600000000003,3.09
