City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity,Maximum Temperature (F),Wind Speed (mph)
chapais,CA,1629351159,49.7834,-74.8492,0,81,62.654,2.12
jamestown,US,1629350882,42.097,-79.2353,100,97,71.456,1.79
mar del plata,AR,1629351000,-38.0023,-57.5575,92,90,54.23,1.58
bacolod,PH,1629351159,10.6667,122.95,40,67,86.99,3.07
pisco,PE,1629350697,-13.7,-76.2167,90,82,62.924,0.51
pasighat,IN,1629351160,28.0667,95.3333,100,99,77.666,1.08
tezu,IN,1629350999,27.9167,96.1667,100,100,76.172,0.91
kapaa,US,1629350894,22.0752,-159.319,20,73,81.194,0.45
nikolskoye,RU,1629350911,59.7035,30.7861,75,76,60.296,5.28
buraydah,SA,1629351161,26.326,43.975,0,10,84.92,0.89
deputatskiy,RU,1629351162,69.3,139.9,92,56,60.17,2.81
hilo,US,1629350873,19.7297,-155.09,90,84,77.072,2.06
ondjiva,AO,1629351162,-17.0667,15.7333,0,18,58.964,2.31
amderma,,,,,,,,
benjamin hill,MX,1629351102,30.1667,-111.1,23,65,78.44,2.42
inirida,CO,1629350908,3.8653,-67.9239,93,98,72.878,0.53
butaritari,KI,1629350879,3.0707,172.7902,98,73,83.642,5.19
hanna,CA,1629351009,51.6334,-111.9018,49,61,53.384,5.63
portknockie,GB,1629351164,57.7025,-2.8599,93,91,53.654,2.72
east london,ZA,1629350938,-33.0153,27.9116,0,71,56.606,6.69
kaitangata,NZ,1629350969,-46.2817,169.8464,84,71,50.792,5.55
severo-kurilsk,RU,1629350936,50.6789,156.125,30,80,59.846,3.55
illoqqortoormiut,,,,,,,,
brodnica,PL,1629351165,53.2597,19.3965,90,77,62.456,7.09
nouadhibou,MR,1629351165,20.931,-17.0347,89,84,71.078,3.6
high level,CA,1629351166,58.5169,-117.136,90,72,59.378,2.06
cabedelo,BR,1629351122,-6.9811,-34.8339,2,89,70.736,5.03
kushima,JP,1629351167,31.4583,131.2333,100,92,85.784,1.76
tabiauea,,,,,,,,
tuktoyaktuk,CA,1629350889,69.4541,-133.0374,75,93,43.07,3.6
codrington,AU,1629350987,-38.2667,141.9667,13,66,61.43,5.57
port hedland,AU,1629351009,-20.3167,118.5667,0,9,91.724,5.66
santa maria da boa vista,BR,1629351168,-8.8078,-39.8256,0,78,66.236,4.86
kamenka,RU,1629351168,51.3223,42.7678,0,27,85.874,3.6
pangnirtung,CA,1629351169,66.1451,-65.7125,100,90,47.174,1.12
teya,RU,1629351169,60.3778,92.6267,81,88,59.918,2.06
juneau,US,1629350916,58.3019,-134.4197,90,98,57.11,1.54
ketchikan,US,1629350993,55.3422,-131.6461,100,98,56.966,1.15
hohhot,CN,1629351170,40.8106,111.6522,40,69,77.558,2
zalantun,CN,1629351171,48,122.7167,100,85,71.204,7.74
mackay,AU,1629351025,-21.15,149.2,40,68,73.652,8.75
belushya guba,,,,,,,,
qujing,CN,1629351172,25.4833,103.7833,81,68,75.236,3.58
mahebourg,MU,1629350918,-20.4081,57.7,20,64,75.758,7.72
cairns,AU,1629351011,-16.9167,145.7667,24,55,84.344,6.69
iqaluit,CA,1629350861,63.7506,-68.5145,90,100,42.8,0
vila velha,BR,1629350697,-20.3297,-40.2925,75,88,70.016,1.03
kodinsk,RU,1629351174,58.6881,99.1844,100,41,73.922,2.85
bethel,US,1629350914,41.3712,-73.414,100,91,77.756,0.45
ouadda,CF,1629351174,8.0777,22.4007,100,95,70.448,1.62
sehithwa,BW,1629351175,-20.4667,22.7167,0,26,64.22,0.32
puerto ayora,EC,1629350879,-0.7393,-90.3518,78,85,72.824,2.68
coihaique,CL,1629350831,-45.5752,-72.0662,90,93,37.616,1.03
saint-philippe,RE,1629350900,-21.3585,55.7679,48,81,75.488,6.35
san cristobal,VE,1629350912,7.7669,-72.225,63,95,65.156,0.69
palabuhanratu,,,,,,,,
raudeberg,NO,1629351176,61.9875,5.1352,98,86,53.474,0.89
sao joaquim,BR,1629351177,-28.2939,-49.9317,6,91,54.824,1.71
tecpan,GT,1629350989,14.7623,-90.9947,100,94,58.586,1.5
pekalongan,ID,1629351177,-6.8886,109.6753,90,67,84.704,1.95
nguiu,,,,,,,,
egvekinot,RU,1629350900,66.3167,-179.1667,100,78,41.108,1.29
chokurdakh,RU,1629350898,70.6333,147.9167,100,39,65.624,1.41
oranjemund,NA,1629351178,-28.55,16.4333,35,93,52.934,0.39
wamba,NG,1629350973,8.9333,8.6,100,99,69.62,0.49
vrangel,RU,1629350898,42.7297,133.0839,28,66,71.816,2.33
ribeira grande,PT,1629350913,38.5167,-28.7,92,89,74.012,5.04
harrison,US,1629351179,30.4091,-89.0436,1,86,86.324,1.54
saint-vallier,FR,1629351180,46.6411,4.3711,92,90,59.234,0.55
port alfred,ZA,1629350907,-33.5906,26.891,39,81,55.85,1.86
dawlatabad,AF,1629351058,36.4141,64.9053,0,12,91.382,3.89
talnakh,RU,1629351120,69.4865,88.3972,97,52,51.728,3.83
aripuana,BR,1629351181,-9.1667,-60.6333,0,42,72.788,0.89
kavieng,PG,1629350590,-2.5744,150.7967,97,65,84.434,1.03
hay river,CA,1629350863,60.8156,-115.7999,75,88,59.252,2.57
qaanaaq,GL,1629350942,77.484,-69.3632,99,91,38.912,0.58
esperance,AU,1629350892,-33.8667,121.9,15,63,66.308,6.54
uglegorsk,RU,1629351182,49.0833,142.0333,100,76,68.018,3.74
lavrentiya,RU,1629350956,65.5833,-171,100,88,42.782,4.23
tuggurt,,,,,,,,
faanui,PF,1629351183,-16.4833,-151.75,28,66,78.008,9.27
caravelas,BR,1629351092,-17.7125,-39.2481,86,74,71.636,3.91
kaeo,NZ,1629351184,-35.1,173.7833,11,71,57.596,2.63
noumea,NC,1629351184,-22.2763,166.4572,97,76,73.652,7.37
talakan,RU,1629351185,50.3167,130.3667,99,43,83.624,3.76
placido de castro,BR,1629351185,-10.3353,-67.1856,17,46,75.902,0.7
katsuura,JP,1629350961,35.1333,140.3,5,77,88.178,7.64
isangel,VU,1629350919,-19.55,169.2667,75,100,61.178,5.14
isla aguada,MX,1629351186,18.7833,-91.4667,99,80,84.416,6.21
syumsi,RU,1629351186,57.1111,51.6149,1,42,79.934,0.9
saldanha,ZA,1629350864,-33.0117,17.9442,99,81,50.324,5.88
sulangan,PH,1629351187,11.1373,123.7228,66,67,84.632,1.63
hasaki,JP,1629351070,35.7333,140.8333,1,79,92.066,10.19
ye,,,,,,,,
sandovo,RU,1629351116,58.4602,36.4128,80,59,64.472,3.22
geraldton,AU,1629350998,-28.7667,114.6,40,49,70.484,6.17
portpatrick,,,,,,,,
guerrero negro,MX,1629350970,27.9769,-114.0611,0,78,73.022,5.8
ouallam,NE,1629351189,14.3188,2.0866,59,73,79.646,4.85
kazalinsk,,,,,,,,
lebu,CL,1629350938,-37.6167,-73.65,96,88,50.054,4.19
fukue,JP,1629351190,32.6881,128.8419,75,78,81.23,2.57
tasiilaq,GL,1629350897,65.6145,-37.6368,100,92,43.232,1.14
huron,US,1629351190,41.1501,-82.5499,35,94,70.952,1.8
salalah,OM,1629350952,17.0151,54.0924,90,100,77.36,1.54
vellmar,DE,1629351191,51.3581,9.4797,75,94,62.186,2.06
naze,JP,1629351101,28.3667,129.4833,100,84,74.588,2.5
najran,SA,1629351192,17.4924,44.1277,81,16,88.718,2.3
bacuit,,,,,,,,
irbit,RU,1629351192,57.6705,63.071,92,46,78.548,2.29
nantucket,US,1629351154,41.2835,-70.0995,1,79,75.578,2.57
hermanus,ZA,1629350880,-34.4187,19.2345,99,77,54.176,3.98
saskylakh,RU,1629350991,71.9167,114.0833,81,51,60.008,1.66
biloela,AU,1629351193,-24.4167,150.5,83,47,71.726,2.84
bengkulu,ID,1629350870,-3.8004,102.2655,100,88,76.352,3.94
bakchar,RU,1629351194,57.0186,82.0711,63,65,63.77,3.98
longyearbyen,SJ,1629350927,78.2186,15.6401,75,87,41.108,4.12
ponta do sol,PT,1629350902,32.6667,-17.1,0,64,70.7,1.52
rudbar,AF,1629351195,30.15,62.6,6,10,93.596,6.1
maceio,BR,1629351195,-9.6658,-35.7353,75,100,69.512,1.54
mazagao,BR,1629351196,-0.115,-51.2894,39,86,82.724,1.4
bababe,,,,,,,,
ivdel,RU,1629351196,60.6911,60.4206,46,53,76.1,0.99
grand river south east,,,,,,,,
barcelona,ES,1629351033,41.3888,2.159,20,84,71.87,3.6
barrow,US,1629350894,71.2906,-156.7887,90,87,37.688,7.2
garissa,KE,1629351198,-0.4536,39.6401,100,65,76.928,8.7
hobyo,SO,1629351001,5.3505,48.5268,50,60,82.256,10.67
mys shmidta,,,,,,,,
utrecht,NL,1629350950,52,5.25,99,93,64.274,1.34
delmiro gouveia,BR,1629351199,-9.3886,-37.9992,35,97,65.138,2.52
obluche,,,,,,,,
tuatapere,NZ,1629351200,-46.1333,167.6833,100,90,47.084,4.06
valparaiso,CL,1629351169,-33.0393,-71.6273,90,100,54.788,0
torbay,CA,1629350863,47.6666,-52.7314,75,79,68.144,8.75
mendi,PG,1629351201,-6.1761,143.6513,100,98,59.558,0.81
fairlie,GB,1629351201,55.756,-4.8556,34,90,55.58,2.13
filingue,NE,1629351202,14.3521,3.3168,51,71,80.636,5.21
navlya,RU,1629351202,52.8281,34.4989,82,81,61.214,3
aitape,PG,1629351203,-3.1374,142.3475,32,73,83.948,2.94
dingle,PH,1629350957,10.9995,122.6711,20,61,89.33,2.69
aklavik,CA,1629351027,68.2191,-135.0107,74,87,43.898,2.39
ostrovnoy,RU,1629351090,68.0531,39.5131,100,78,60.548,6.51
yellamanchili,,,,,,,,
monrovia,LR,1629351204,6.3005,-10.7969,39,73,76.46,3.11
idenao,CM,1629351204,4.2475,9.0047,98,90,73.112,2.49
upernavik,GL,1629350871,72.7868,-56.1549,88,83,40.694,3.71
port blair,IN,1629351013,11.6667,92.75,40,79,88.106,6.17
sao joao da barra,BR,1629350943,-21.6403,-41.0511,2,83,71.528,8.48
lagoa,PT,1629350921,39.05,-27.9833,44,87,73.184,7.36
thinadhoo,MV,1629351206,0.5333,72.9333,21,72,82.274,3.24
omaruru,NA,1629351206,-21.4333,15.9333,0,29,51.674,1.64
port angeles,US,1629351207,48.1181,-123.4307,1,95,62.978,4.63
hofn,IS,1629351043,64.2539,-15.2082,100,91,52.664,2.35
ivanava,BY,1629351207,52.1451,25.5365,45,69,58.586,4.54
victoria,HK,1629350720,22.2855,114.1577,96,82,86.594,0.89
doka,SD,1629351208,13.5167,35.7667,58,81,74.786,5.54
khatanga,RU,1629350888,71.9667,102.5,100,48,54.464,3.16
pitimbu,BR,1629351065,-7.4706,-34.8086,5,86,70.664,4.87
meyungs,,,,,,,,
ampanihy,MG,1629351209,-24.7,44.75,0,44,73.814,3
champerico,GT,1629351117,14.3,-91.9167,100,81,82.994,3.01
ler,SS,1629351210,8.3018,30.1418,79,77,77.09,0.99
lorengau,PG,1629350935,-2.0226,147.2712,85,65,85.604,2.95
manado,ID,1629351211,1.487,124.8455,40,94,78.044,1.54
bredasdorp,ZA,1629350864,-34.5322,20.0403,100,82,51.386,2.06
itaituba,BR,1629351211,-4.2761,-55.9836,29,62,72.932,1.21
khandyga,RU,1629351212,62.6667,135.6,84,62,63.14,0.79
lugo,ES,1629351212,43,-7.5,54,100,56.75,5.36
norman wells,CA,1629350880,65.282,-126.8329,75,93,52.106,1.54
wellington,NZ,1629351075,-41.2866,174.7756,4,70,55.922,1.79
wenling,CN,1629351213,28.3669,121.36,100,71,82.652,2.96
grand gaube,MU,1629351071,-20.0064,57.6608,72,65,75.866,4.47
samusu,,,,,,,,
miyoshi,JP,1629351214,35.0833,137.0667,100,78,75.596,3.05
new norfolk,AU,1629350909,-42.7826,147.0587,76,58,58.19,0.45
lolua,,,,,,,,
atocha,BO,1629351215,-20.9333,-66.2333,0,12,40.928,2.22
saint george,US,1629350725,37.1041,-113.5841,90,50,84.938,9.26
bambous virieux,MU,1629351056,-20.3428,57.7575,20,64,75.722,7.72
marawi,PH,1629350866,7.9986,124.2928,36,65,76.91,1.59
severnyy-kospashskiy,RU,1629351216,59.0925,57.8008,77,53,75.074,1.7
bathsheba,BB,1629351001,13.2167,-59.5167,75,88,77.882,3.6
mersing,MY,1629351216,2.4312,103.8405,40,70,86.18,4.12
elizabeth city,US,1629351217,36.2946,-76.2511,1,93,82.274,0.89
flin flon,CA,1629351177,54.7682,-101.865,98,56,53.186,2.73
chuy,UY,1629350976,-33.6971,-53.4616,97,96,62.564,2.49
sao filipe,CV,1629350924,14.8961,-24.4956,92,85,78.116,1.86
fairbanks,US,1629351218,64.8378,-147.7164,1,72,53.87,0
alice springs,AU,1629350921,-23.7,133.8833,0,12,78.62,3.6
mandera,KE,1629351219,3.9366,41.867,51,41,81.932,8.67
adrar,MR,1629351098,20.5022,-10.0711,78,36,87.836,4.75
bahia blanca,AR,1629350970,-38.7196,-62.2724,100,36,59.36,4.18
san patricio,US,1629350956,28.017,-97.5169,89,74,87.962,8.24
berlevag,NO,1629351220,70.8578,29.0864,75,93,48.47,10.8
russell,US,1629351220,32.3502,-85.1999,1,94,80.096,0
aksu,CN,1629350887,41.1231,80.2644,90,20,85.028,1.73
grand-santi,GF,1629351221,4.25,-54.3833,43,97,71.42,0.74
ijaki,,,,,,,,
cidreira,BR,1629350873,-30.1811,-50.2056,34,85,65.12,3.97
ilulissat,GL,1629351041,69.2167,-51.1,100,87,43.088,0
westport,US,1629350838,41.1415,-73.3579,90,94,79.25,0.45
bud,US,1629351222,39.447,-86.1758,100,96,74.57,2.76
leo,BF,1629351223,11.1,-2.1,99,87,70.538,1.07
chakwal,PK,1629351223,32.9334,72.8585,0,33,95.594,2.94
kirkland lake,CA,1629351062,48.1446,-80.0377,25,88,68.558,1.88
kaduy,RU,1629351224,59.2,37.15,84,67,61.106,3.31
kyren,RU,1629351126,51.6828,102.1408,33,53,68.702,1.55
mehamn,NO,1629351048,71.0357,27.8492,75,93,48.416,8.75
buta,CD,1629351225,2.7858,24.73,100,99,69.746,0.48
gamboula,CF,1629351225,4.1178,15.1393,100,98,68.45,0.85
harper,LR,1629350988,4.375,-7.7169,99,82,74.714,1.27
beihai,CN,1629351226,21.4833,109.1,76,68,87.602,3.66
merauke,ID,1629351227,-8.4667,140.3333,89,78,79.7,6.84
mao,ES,1629351227,39.8885,4.2658,20,94,72.428,2.06
morant bay,JM,1629351227,17.8815,-76.4093,100,84,82.292,4.64
causapscal,CA,1629351228,48.3542,-67.227,0,96,65.102,0.95
utiroa,,,,,,,,
tasbuget,,,,,,,,
gueret,FR,1629351229,46.1667,1.8667,89,90,56.3,0.68
biak,ID,1629351229,-0.9131,122.8766,44,81,79.844,4.48
cabra,ES,1629351230,37.4725,-4.4421,0,76,71.924,0.91
faya,SA,1629351230,18.3851,42.4509,44,38,74.192,2.71
touros,BR,1629351040,-5.1989,-35.4608,53,88,70.97,6.15
byron bay,AU,1629351224,-28.65,153.6167,49,59,70.178,3.01
baherden,TM,1629351232,38.4362,57.4316,0,13,90.734,2.51
luderitz,NA,1629351232,-26.6481,15.1594,14,83,53.042,4.41
taolanaro,,,,,,,,
jumla,NP,1629350959,29.2747,82.1838,94,74,71.654,1.75
munak,IN,1629351234,29.5187,76.8486,86,48,93.956,1.31
lukovetskiy,RU,1629351234,64.2956,41.9211,90,91,66.452,2.52
nishihara,JP,1629351069,26.1842,127.7558,90,89,80.924,2.06
szczytno,PL,1629351235,53.5626,20.9875,0,77,60.998,5.14
nadvoitsy,RU,1629351235,63.8667,34.3167,55,73,60.908,6.1
rassvet,RU,1629351236,46.8333,40.75,56,55,80.888,6
constitucion,CL,1629350896,-35.3333,-72.4167,96,94,52.52,4.24
sandy bay,AU,1629351236,-42.913,147.3532,40,64,59.414,0.45
celestun,MX,1629351237,20.8667,-90.4,81,73,81.392,6.31
haverfordwest,GB,1629351237,51.8017,-4.9691,98,93,61.826,0.45
shache,CN,1629351061,38.4167,77.2406,10,10,89.564,2.24
namatanai,PG,1629350930,-3.6667,152.4333,84,68,84.65,2.01
chaumont,FR,1629351238,48.1167,5.1333,100,91,59.558,1.83
san quintin,MX,1629351238,30.4833,-115.95,11,74,71.834,1.54
alofi,NU,1629350878,-19.0595,-169.9187,24,78,75.362,2.57
jabalpur,IN,1629350977,23.167,79.9501,90,94,79.916,1.54
angermunde,DE,1629351239,53.015,13.9992,82,81,64.346,5.47
murwillumbah,AU,1629351240,-28.3167,153.4,90,59,71.006,3.09
paamiut,GL,1629351240,61.994,-49.6678,100,98,43.754,6.35
dire dawa,ET,1629351241,9.5931,41.8661,75,52,79.016,5.75
ibiuna,BR,1629351241,-23.6564,-47.2225,0,56,68.072,1.61
breves,BR,1629351242,-1.6822,-50.4803,8,93,72.662,1.62
namibe,AO,1629350926,-15.1961,12.1522,1,86,61.754,3.04
marcona,,,,,,,,
andarab,,,,,,,,
morondava,MG,1629351243,-20.2833,44.2833,0,57,74.516,2.11
moratuwa,LK,1629351243,6.773,79.8816,86,74,84.488,4.46
ixtapa,MX,1629351243,20.7,-105.2,100,90,79.502,0.45
diamantino,BR,1629351099,-14.4086,-56.4461,0,36,72.572,2.51
porto alegre,BR,1629350959,-30.0331,-51.23,0,88,72.158,1.54
santa cruz,BO,1629351244,-17.8,-63.1667,0,50,73.526,3.75
siavonga,ZM,1629351245,-16.5382,28.7088,0,44,69.818,1.96
iskateley,RU,1629351060,67.6803,53.1512,100,83,51.188,7
mazamari,PE,1629351246,-11.3258,-74.5308,67,66,74.282,0.91
suntar,RU,1629350892,62.1444,117.6319,78,55,68.198,1.05
aleksandrovka,UA,1629351246,46.8383,32.7612,7,72,70.178,5.2
saint-louis,SN,1629351247,16.3333,-15,100,84,77.36,4.55
airai,TL,1629350890,-8.9266,125.4092,9,39,77.252,1.61
grand-lahou,CI,1629351247,5.1367,-5.0242,91,88,72.464,2.23
rosarito,MX,1629351248,32.3333,-117.0333,90,85,73.346,2.02
ponta delgada,PT,1629351199,37.7333,-25.6667,40,88,74.39,4.12
leningradskiy,RU,1629350970,69.3833,178.4167,48,62,48.758,4.05
san juan,AR,1629350859,-31.5375,-68.5364,4,11,70.052,6.32
atasu,KZ,1629351249,48.6814,71.6433,60,27,82.958,4.87
manta,EC,1629351249,-0.95,-80.7333,90,88,73.454,4.12
owando,CG,1629351250,-0.4819,15.8999,100,87,73.094,1.76
ancud,CL,1629351086,-41.8697,-73.8203,100,85,42.692,5.1
ambon,ID,1629351250,-3.6954,128.1814,40,94,79.214,3.09
nizhneyansk,,,,,,,,
hami,CN,1629351251,42.8,93.45,0,23,82.976,0.48
praia da vitoria,PT,1629351029,38.7333,-27.0667,20,94,72.122,2.69
lyaskelya,RU,1629351252,61.7667,31.0167,92,83,58.82,6.06
santiago,CL,1629351252,-33.4569,-70.6483,90,93,49.424,3.6
vila do maio,CV,1629351015,15.1333,-23.2167,99,85,78.062,2.98
erenhot,CN,1629351253,43.6475,111.9767,3,24,84.722,11.17
tumannyy,,,,,,,,
sao jose da coroa grande,BR,1629351254,-8.8978,-35.1478,39,85,73.922,4.8
sept-iles,CA,1629351062,50.2001,-66.3821,1,89,64.328,1.03
hirado,JP,1629351254,33.3597,129.5531,8,75,85.622,2.22
theunissen,ZA,1629351255,-28.411,26.7011,0,49,46.076,1.8
marsh harbour,BS,1629351111,26.5412,-77.0636,8,76,82.436,3.75
clyde river,CA,1629350918,70.4692,-68.5914,100,92,39.254,2.98
batabano,CU,1629351255,22.7164,-82.2881,98,87,79.682,5.02
kostomuksha,RU,1629351256,64.571,30.5767,79,82,58.676,5.89
half moon bay,US,1629350944,37.4636,-122.4286,40,80,66.668,0
morgan city,US,1629351257,29.6994,-91.2068,1,94,82.274,2.06
verkhnevilyuysk,RU,1629351257,63.4453,120.3167,88,55,67.28,0.71
daman,IN,1629351257,20.4167,72.85,100,95,76.712,4.76
camana,PE,1629351258,-16.6228,-72.7111,6,85,59.162,3.84
esmeraldas,BR,1629350937,-19.7625,-44.3139,0,77,63.734,2.15
otane,NZ,1629351259,-39.8833,176.6333,28,74,55.274,2.22
qandahar,,,,,,,,
brae,GB,1629351006,60.3964,-1.353,21,84,53.78,6.32
sakakah,SA,1629351260,29.9697,40.2064,0,18,82.238,1.69
oropoli,HN,1629351260,13.8167,-86.8167,100,93,78.17,0.78
kalmunai,LK,1629351261,7.4167,81.8167,100,49,90.446,0.81
kismayo,SO,1629351262,-0.3582,42.5454,100,75,79.772,7.68
southbridge,US,1629351262,42.0751,-72.0334,98,93,73.274,1.54
mangan,IN,1629351262,27.5167,88.5333,100,88,79.358,0.63
trairi,BR,1629350906,-3.2778,-39.2689,28,76,77.702,6.46
barbar,,,,,,,,
takoradi,GH,1629351263,4.8845,-1.7554,77,90,73.166,2.5
college,US,1629351264,64.8569,-147.8028,40,71,53.852,0
paita,PE,1629351264,-5.0892,-81.1144,64,89,64.382,4.36
husavik,IS,1629351265,66.0449,-17.3389,93,84,50.18,1.65
laizhou,CN,1629351265,37.1717,119.9214,66,52,85.46,0.84
maragogi,BR,1629351265,-9.0122,-35.2225,41,86,73.688,5.06
lengshuitan,CN,1629351266,26.4111,111.5956,29,51,95.234,1.55
flinders,AU,1629350997,-34.5833,150.8552,92,54,71.474,1.79
komsomolskiy,UZ,1629350985,40.4272,71.7189,0,23,85.19,2.06
emba,KZ,1629351267,48.8264,58.1442,4,15,93.668,4.12
saint-joseph,RE,1629351267,-21.3667,55.6167,22,70,74.48,5.23
tibiri,NE,1629351268,13.5627,7.0485,79,76,77.252,2.62
leshukonskoye,RU,1629351268,64.8989,45.7622,77,85,69.62,3.31
denpasar,ID,1629351185,-8.65,115.2167,40,74,84.128,5.14
coahuayana,MX,1629350869,18.7333,-103.6833,100,94,77.342,1.67
manaure,CO,1629351269,11.7751,-72.4445,54,74,82.148,7.62
te anau,NZ,1629350957,-45.4167,167.7167,100,94,43.322,2.8
gazalkent,UZ,1629351270,41.5581,69.7708,0,12,79.43,4.09
antofagasta,CL,1629351270,-23.65,-70.4,1,79,58.55,0.55
singapore,SG,1629350714,1.2897,103.8501,75,63,86.216,5.14
fort nelson,CA,1629351271,58.8053,-122.7002,75,82,53.456,2.06
silver city,US,1629351271,32.7701,-108.2803,90,87,66.902,8.23
makakilo city,US,1629351126,21.3469,-158.0858,1,65,81.194,2.57
los llanos de aridane,ES,1629351027,28.6585,-17.9182,0,22,73.418,4.12
tilichiki,RU,1629351272,60.4667,166.1,100,73,50.252,2.07
tessalit,ML,1629351273,20.1986,1.0114,9,44,86.72,2.79
samsun,TR,1629351273,41.25,36.3333,20,83,72.626,1.54
orjahovo,,,,,,,,
lomza,PL,1629351274,53.1781,22.0593,63,80,63.104,6.16
eureka,US,1629351274,40.8021,-124.1637,5,77,57.848,0.89
otavi,NA,1629351275,-19.65,17.3333,0,13,61.736,1.53
norsup,VU,1629351275,-16.0667,167.3833,30,82,78.98,4.65
ola,RU,1629351276,59.5833,151.2833,99,90,55.814,5.49
pinega,RU,1629351276,64.7001,43.3936,78,94,65.03,2.62
vredendal,ZA,1629350904,-31.6683,18.5012,60,94,50.72,2.96
haines junction,CA,1629351277,60.7522,-137.5108,100,67,55.616,5.14
axim,GH,1629350888,4.8699,-2.2405,89,86,74.426,2.33
